overall,reviewText
positive,i love this eyeliner  it comes in an adorable container and is easy to apply  it holds up pretty well too  theres a little flaking by the end of the night but heck it only cost about   it was also very easy to remove which i find refreshing and helpful  if youre looking for waterproof staying power in an eyeliner id suggest a different product  if youre just looking for a cute liquid liner that does the basic function of an eyeliner ie lasting a work day this is a good cheaper option  i havent tried reapplying as ive only worn it once but id imagine thats an option if you need it to last longer  also the shipping was so fast and free  this arrived within  days of ordering including thanksgiving day where nothing moves at all
neutral,i was looking to replace my other norelco razor more expensive one which was good but battery wasnt charging anymore and blades getting dull after one year of use since it costs a lot to replace them ive decided to get another one razor norelco razors are very quiet so i prefer them to other brands this razor battery lasted for about  days after full charge but shaving is not very close ill get stubble in afternoon after shaving in the morning and it takes many rounds of shaving the same place with my previous model it would last until next morning and less passes over my face  otherwise its fine razor good for everyday use and after battery and blades will start to wear off ill just get a new one again when i need a really good shave i use my old one using electric cord
neutral,as soon as i opened it the ring fell offi had to glue it back on but its still pretty
positive,very funny but beware the head comes off very easily
positive,works great
positive,i use this soap on my face it smells kinda sweet and makes my skin feel softer and smoother i will recommend it to anyone with dry skin
negative,doesnt stay on the wall and the light died after about  month
positive,this stuff worked on my  year piercing almost instantly the only complaint i have is that a little leaked out of the bag somehow
negative,i dont care for the product  it does not cover very well
negative,not happy with this product my hair gets stuck and pulls out it takes forever to turn on
negative,its to big for nose and does not looks good 
neutral,havent used the product yet be mindful that its one needle that can hold  to  strands of hairand or holder
negative,i expected a smooth strip but this strip is very stiff and a little hard  i didnt like how it fit my lids  even though they say you can cut to fit that just made the edges hardsharp  too low priced to send back so i tossed them
neutral,not that easy to use
neutral,i got this watch maybe two weeks ago and i just noticed it keeps stopping i still love it though
positive,exactly as described  i also use it on my hands it feels so good
positive,love the smell and it last long
neutral,it could use more of a diffused nozzle so one doesnt have to rub it in with hands
neutral,because this was to little  i can tell you how this worked for me but i love the smell ill buy the big one next time
positive,really good
positive,arrived earlier than shipping time an item was the same as in a picture not used yet do not know how long would last it however it is a good deal for such a price
positive,this oil restored and saved my hair i can not speak more highly of it i let it sit for  hours and it has made my hair pure shiny and literally decreased the frizz by   satisfied use on dry skin patch marks also the fact it is cold pressed unrefined is a huge must and the fact people did not get the oil for free to leave a review also mayters researched company and this by far was exactly what i needed
neutral,this is a decent trimmer but it doesnt get as close as the braun mini shaver does the braun is excellent but doesnt last long  the panasonic is a good quality trimmer but just doesnt cut it in the bikini area
positive,amazing sunscreen works well absorbs quickly completely nongreasy all other sunscreens break me out but this provided not only ideal spf but also adequate am moisture for my oily skin no scent doesnt burn my eyes its perfect
positive,i have oily skin so i purchased this with the intention of using this product to clean my make up brushes  i figured because this product has olive oil in it it would do a good job of not drying out and would condition the brush hairs as i cleanse them  it works like a charm  i think the olive oil also helps dissolve the make up even faster  it also rinses very clean  im highly satisfied with this product  so for those of you who have this product already and arent happy with it maybe you should try using it on your make up brushes
neutral,these products felt nice on my skin and seemed good quality but i saw no improvements in my pores and acne got mildly worse
neutral,not a super huge fan of the smell but product works great there are very few tanning lotions that arent bronzing or tingle factor lotions this is a great product if youre looking for a pretty basic level  lotion
negative,another poorly packaged item from amazon came in an envelope and the cap is smashed does not lather up very well and the scent is too light not overly impressed get better products at the dollar store
neutral,took too long to process order poor quality  these can only be used once and the elastic is poorly attached
neutral, of each color not plentiful like displayed on picture
negative,it does no cover the whole phone
negative,i used it once and im going to have to throw it away because it smells so bad  it smells just like raid bug spray it is horrible do not buy this scent the coconut is really nice i also purchased the jasmine but have not tried it yet
negative,lovely looking but wont stay in my hairthey slide out i tried gluing a piece of rough cloth on the clasp but that doesnt work either useless
negative,lids were all scratched
neutral,will return wanted the next size bigger i use to wear in my teens ow good barrette
neutral,i order the wrong size but thats ok once i lose couple of pounds i should be able to wear it if wondering what size i am im   pounds i got the large but should of got the xlarge instead anyway when it came it had strong smell kind of unbearable but it should go away in few days i hope overall seems ok i do another review in couple of months to see if i really like it
neutral,never used a rotary shaver before so did not know what to expect does not seem to shave as close as my old braun still trying to get a good shave by trying different techniques but after  weeks im not impressed probably would not buy again
positive,i bought two i use one to help me sweat during workouts and to remove my makeup my boyfriend uses the other for his face when he shaves he has very dry skin and we both love it
negative,i dont like the smell
negative,the razor gives an excellent close and quick shave  its lightweight and quiet  however one big feature that is unsatisfactory is that it has no low battery indicator light providing the chance of the razor stopping in the middle of a shave  this is not good if you have taken the razor with you to a remote site without the charger cord
negative,not worth the trouble
positive,i am pretty new to wet shaving and have only limited exposure to shaving soaps but my wife bought this for me as a christmas gift and wow what a difference  the smell is good but not overpowering and the lather lasts throughout the shave
neutral,turns out my hair brush is better for styling my hair
positive,love this face wash my face feels smooth and soft after every wash
negative,whenever i use this i feel like it strips my hair of it nutrients
neutral,maybe my skin is too soft but this was a lot like exfoliating with sandpaper only used it a few times and had to quit very uncomfortable
negative,its hard plastic and my son doesnt like it and complains that it hurt him when i put one on his pant
positive,this is my latest waterpic ive been using one for about  years its about the same as far as flossing goes as my others id give this  stars if it wasnt for the lid i dont like it doesnt hinge doesnt seem to want to go right back on without a little moving around i still wouldnt buy anything else
neutral,disappointing i expected the jet to be more powerful than it is but it does remove food particles lodged between teeth
neutral,the product is still functional after two months of use but the glass pick is becoming loose  only time will tell if the waterpik continues to operate  the design is compact and takes up little counter space  i like the way it cleans my teeth
positive,these blades are sharp they last for about five good shaves and for the price i certainly wont complain  i will buy more when i run out but that wont be any time soon
neutral,lids not even close to being a snug fit  its very lose and just sets on top  that being said it does cover the top consistently  not bad not great  holds things  yay
neutral,my favorite thing about this product is that it has a rubber grip it makes it very easy to hold the lather side is like any traditional loofa i only need a little bit of soap and itll last for cleaning my whole body however the other side  the blue scrub side  is rather worthless it doesnt absorb or hold soap and is too rough to do much of anything youd get a similar experience if you put soap on a piece of sandpaper
negative,my nails break very easily this turns my nails yellow even nail polish remover wouldnt take it off my nails
negative,not for big boobs
positive,ordered these for my yo daughter because she keeps losing earrings  stay in great and havent had any problems since  would order again  also came with an extra set of backs
negative,i ordered this product because it was recommended to me on another skincare website  however i havent wanted to use this product much due to its odor  very medicinalchemical smelling  makes me wonder what sort of harsh chemicals are going on my face  i used it pretty consistently the first two weeks and didnt notice any difference in my skin  i wouldnt recommend this product unless a dermatologist specifically tells you to use it
neutral,wasnt a bad product wasnt as thick to help with the coverage adhesive wasnt that great on the product
negative,not bad it doesnt make any difference
positive,good keratin treatment
neutral,i purchased this to use for my daughters hair for dance competitions i needed something for quick costume  hair changes i had it on the highest  longest setting i was sure to not use too much hair but i did not get the tight curl i needed i had to end up using a regular curling iron so it was a waste of time especially when you dont have a lot of time in between performances although it is pretty easy to use if you want a tighter curl i am not sure i would recommend this for an everyday loose curl it would be perfect
negative,horrible received product and was old dried and used will never buy this againafraid to use it might get eye fungus
neutral,the quality of the hair was exceptional it was so soft and tanglefree but on the downside is that the bunfles so thin and small it could not complete a full head
negative,this essential oil smells very bad i dont recommend this product ive been using essential oils for a while and my son hates this one it smells like body oder or pooh
positive,i should have gone with this waterpik product from the getgo  it works its easy my teeth are cleaner i love it  i wasted money time and energy on something that was not as beneficial to the health of my teeth i love amazon i always find the item i need and with prime im not grossed out over shipping cost  thank you
negative,the length of the elastic was longer than what it said in the description so they fall out of my pony tail thus they are worthless  and amazon if you dont like what i said this time and if my opinions dont fit into your rules then dont ask me for my review  gwen
neutral,goopey thick chips but not too much  mainly on tip of nails could be better lasts about a week without chipping small bottles but good for beginners who want to learn and good value
positive,i like this lipstick pretty color and it did not dry out my lips goes on smoothly and has a great smell i did have to apply several times through the day really not a bad buy for a drugstore lipstick
neutral,i have only been using this product for a short time i dont think it really help the dark spots on my face at all in all realness i think it made my face darker i dont really think i will be using this anymore i think i might have to use it for a longer time to really see a difference for  dollars i dont really think it is worth your money i do think there are better things that i have used in the past that have been way cheaper and work a lot better than this has  i did receive this product for free in exchange for my honest review all opinions are my own
positive,these are absolutely delicious and addictive both of my kids loved it i had no issue with the product not being organic as i didnt see anywhere on the packaging where they suggested it was organic i simply liked that it was a much healthier alternative than chips we have tried this flavor onion thyme and caesar and love them all we purchase them at publix as you can get  for 
negative,stinks
neutral,nice but keeps falling from forehead look at this picture ot could been a cover for my weeding album and because of the crucket headpiece couldnt use it
negative,i tried these thinking they might work for sandals and dress shoes but they failed to stay on  i went back to the full and half shoe inserts
positive,just purchased airy fairy today  i love it  the perfect pinkish nude  has a slight glossy look creamy and lush  color lasts a long time  its like my natural color only prettier
positive,best bar for hands and nails love the vanilla
positive,i use this everyday and love it amazon is great
positive,this is the best product
negative,very cheaply made
neutral,can never tell any difference if it works i dont know what it does
neutral,deodorant works but the dispenser is not that good when you spin the dial to bring deodorant up the whole top raised up so i have to press it down to get the deodorant to come thru the holes to use it
negative,ive been a nail technician for the past  years i usually work with konad but i was hoping this is a good quality polish for stamping total disaster the colors are faded and no pigment
negative,was shaving cream dont buy i went to walgreens and is not the same product i received
neutral,looks a lot bigger and spacious in the photo
negative,its sticky going on and you start to smell the next day if your not timely about re application  green tidings is better to me
neutral,not sure its working yet my nd grader fell and had a pretty good cut on her left eyebrow which needed a few stitches a few months ago the cut didnt heal very well and i got this in hopes that it would lighten the color of the scar and help with some keloid formation that she must be prone to we were first using vitamin e and sunscreen on it it i wanted something stronger after  weeks of using this cream i think there may a small improvement in the scars appearance but not like other reviews that noticed something after the first week she uses it at night and then uses sunscreen during the day well continue to use it since it may be working and just hasnt had long enough to see the full effects it smells nice  kind of lavender scented not strong or bothersome to her and a little goes a long way its a small bottle but you dont even need half a pump to cover her little one inch scar
negative,terrible cream the cream doesnt work great on the skin it leaves flaked on your face
negative,cheap maybe  good brushes out of the bunch
positive,very shock proof as i have dropped my phone several times without an issue  a little difficult to push the buttons which is good because then you are not adjusting your volume without you knowing it
positive,too much fragrance for me
positive,i am a man and when i turned  i decided to have the occasional facial  at massage envy  to help keep my skin looking younger the lady told me to go to traders joes  and buy three things  the face wash the serum and the moisturizer  she said to apply them in that order  what a difference  now my brothers and my male friends are jumping  on the band wagon its easy and quick to do before bed and i cant believe the changes the cost of these three products at trader joes is rediculously low compared to what women pay for similar products at a department store i wish i knew this stuff  years ago  they just dont teach men these little tricks which is just dumb  it works also guys you can find usefull reviews and how to use videos on youtube for this stuff give it a try the pricing is so good that it will not hurt your wallet any to see if you like the results
negative,this did not contain what was advertised sweet tartan wasnt included see attached picture
negative,no instructions or information included makes your skin dry really a big joke not worth a crap
neutral,squeezing the gel through my wet tresses as my head hung in front of my belly button i stole a sideways glance into my full length mirror with high hopes for smooth curls  wet and gelled they looked perfect and i anticipated lovely lilting locks when they dried  nope i had a halo of frizz  tried it again a the next day and used more product  still frizz  this is not miracle gel  i got similartobetter results from a product i bought at the local drug store for half the price
positive,the bracelet arrived damaged but because of the great price i kept it and replaced the fish that was damaged now i wear it often
negative,too small
neutral,becausev cord i cannot use cormfotable
positive,i have to apply double sided tape to make my strips stay but other than that ive sped my application up by  minutes
neutral,too gray and makes one look ashy when used with enough powder and blush this can serve as a nice canvas but the pink skin bb cream has a better finish liole triple action bb cream is even better
negative,broken
positive,absolutely love love love this hair dryer  i have long naturally curly hair  finally found a hair dryer that doesnt frizz my curls
negative,sent a white pair instead of mint color shown glove works fine but would have not purchased white
negative,i could not be more disappointed in this trimmer  it does not trim closely enough at all
positive,my powder came quickly and at a good price  thank you
neutral,just love the changing colors and the easytocarry and lightweightedness of the candle  unfortunately the wicks require frequent digging out so that they can be relit
negative,i purchased this item as a gift for friends with a new dog  the bar of soap was not packaged sufficiently to endure shipping  it arrived in a small plastic bag no wrapping at all not  even paper around it  consequently the edges of the rippled bar which is part of its charm are all dinged and damaged  im sure the soap will function properly but it is not in suitable condition for a gift  be cautious when ordering from this supplier
negative,awful got stuck in my hair took my  min to get it out 
positive,ive owned this a few years now and when new it gave a little closer shave than other razors  as the blades get a little duller and the batteries stop lasting as long typical with every cordless out there its just average  it seems to have a hard time handling my neck  underchin hair  this is only a little better than other razors so how in the world is it being listed on amazon for over   its basically just worth the  i paid for it new at the local discount store
neutral,this is an excellent moisturizer i like it and would rate it much higher but i had the feeling that someone may have used this product because the jar didnt seem quite full  i have used the product before having purchased at a naturals foods market never online b
negative,i have the worst skin irritation ever ive never had a breakout like i have after using dudu osun soap i may have to go to a doctor if the irritation doesnt subside in the next few days
neutral,i have used this product slightly over a month it does not give a close shave even when used withe a preelectric shave lotion it performs poorly around my chin leaves certain whisker untouched so i have to use my regular razor for touch up
positive,this item works exactly as promised there are lots of attachments and no explanation of what they are for but a quick google search solves that problem
negative,i have a few wigs for cosplay reasons but this was the worst i ever got you would need to cut and style the wigs bangs yourself so its not even as shown also its too small for an adult i usually wear a small or medium as far as hats go and this is even too small for me the braid had hair sticking out everywhere and the hair was rather unhealthy ill be sticking to xy from now on
negative,waste of money
neutral,for the price its ok if u want to have mor for a cheaper price get the wheel it comes with a lot more overall its good though comes with all the colors it says
positive,they work great with my huge bunion  i have tried different bunions aid and this works perfectly
neutral,after all the hype i tried it doesnt stay on for very long wouldnt buy it again
neutral,im giving this three stars because it does work but the results do not justify the price  ive been using this for over two months before i started i couldnt even get my lashes on a curler they were that short within two and a half weeks i could see a difference within a month i could get my lashes on a curler  this product did make my eyelids itchy no irritation in my eye though when i accidentally got some in it  i also noticed a weird looking line above my lashes that is lighter than the rest of my skin  ive used this as directed  i did see improvement but i think there is a natural plateau to the length and amount of eyelashes that ones dna will allow ive hit mine  overall a good product but i cant see spending the money on it again i got mine for  off and still cant justify it
positive,everyone commented on how lovely this tiara looks  it was used for a halloween costume  either way looked great and would purchase again
positive,i have been using norelco cordless electric shavers for about  years now fortunately years ago it did not take long for my face to adjust  recently had to replace a  year old norelco shaver when the internal battery charging circuitry fizzled because i frequently shave far away from an ac outlet i needed the timer display to tell me to get ready for a charge this feature is a must and helped make my decision easy on which new model to buy  only way to get my feature was to go for the topoftheline  xl norelco model and make the  smacker investment thus far it has lived up to my expectations shaves about  percent quicker than the older versions and is extremely quiet   on the dark side i have also found a couple of minor shortcomings first the travelcarrying case is difficult to unlatch the only time it opened easily is when it fell on the floor  this unit should not have popped open at all second although the timer display is large certain numbers are not so easy to read a number  looks a lot like a   all things considered it has been a worthwhile purchase for me and should provide years of reliable service this one you will enjoy 
neutral,good but smell strong
neutral,too small doesnt come across as pretty as i was hoping
neutral,this is exactly the product i wanted the shipping service was excellent this product costs less than five dollars pay the high price for one if this product was offered for only five dollars each i would buy for more quantities
positive,i will start by admitting that i was skeptical in purchasing these dupes as ive seen many reviews on youtube stating that there isnt a quality dupe for the original brush set as of yet well let me tell you these are definitely not the set they were referring to as these brushes are great i will admit it was strange using this style of brush to apply my makeup and i was very afraid that they would pull at my skin too much but after using these brushes i will say that they are unbelievably soft and applied my makeup like a dream i will definitely add these to my daily makeup routine
positive,very nice case
positive,luv it
neutral,i used this every night before bed for about a month and didnt notice a difference super bummed but it is perfect for a primer before your mascara
neutral,its ok but not sturdy
negative,it came within about  weeks after i ordered it i got  i usually dont wear much on my lips other than chapstick or clear lipgloss because i feel like the colors never look that great on me but this looks really pretty on like a pretty nude color id say its my favorite color ive tried on me the only thing is its so dry feeling but then again ive never tried a matte lipstick before this so it might be normal idk so pretty color and stays on just really dry maybe if i put something over it but then it might not last quite as long i will probably be ordering this again especially since its so cheap  edit i think i got this like a year ago and i liked it originally when i got it because i hadnt tried liquid lipsticks before i didnt like wearing lipstick much in general so the aspect that it didnt just rub off right away made me like it a lot along with the fact that it was an easy to wear color but since then ive tried other liquid lipsticks or matte lipsticks and they are better than this one this one it actually is pretty sticky in comparison like its not sticky like glue or something but its sticky to where it can feel annoying like your lips will stick together a tiny bit when they touch or if you touch your lips they feel sticky yes its super cheap but i would say to look elsewhere i think spending more on a better quality liquidmatte lipstick that you will like wearing a lot better and probably get more use out of is worth it i thought i should update this review to what my current thoughts are on it
neutral,too light for skin tone would not recommend for dry skin better suited for combination to oily skin clings to dry patches works really well with j one jelly pact  dry patches not as noticeable
positive,i got this from the dealer and it sure fits perfect for the key fob of my  lexus is  fsport very good product
positive,this is a great natural way to help balance female hormones it has helped me with hot flashes and other premenopause symptoms i have a  friend who has taken them for uterine fibroids and it has helped to shrink them great stuff
positive,some days works great others not so much
negative,this device has serious functional and aesthetic flaws  on a functional level the vacuum is virtually useless so that at least  of the hair winds up on the counter or in the sink  i could have stayed with my nonvacuum trimmer  also the blades clog and everything comes apart to clean with a flimsy i hope i dont break this kind of plasticity  on an aesthetic level this is very noisy and the noise is extremely unpleasant sort of a sick screeching sound that i do not associate with quality  as soon as i turn it on i want to turn it off as soon as possible  this just does not feel like a quality product  it is within a hair of it being worth the trouble to return it
negative,colors were not what i was expecting or wanted i was told that stamping polishes work better with the plates than regular polishes the colors were supposed to show up better that wasnt the case with my experience with these polishes i was very disappointed
positive,this product exceeded my expectations and i receive many compliments on this fruit holder
neutral,i think its a pretty good moisturizer but cant see a difference as far as wrinkles one other thing is that i feel like my face is breaking out a lot more now
negative,am reporting them to fda  burned my mouth after one time using  do not buy how could this ever be approved
neutral,check the expiration date on the box do not buy unless the date is at least several months away the strips are small for someone that has a big mouth andor large teeth i have to use three strips at a timetwo for the bottom row and one for the upper row if you talk the strips will become misaligned and slip which requires setting them on your teeth again i am considering going to a dentist for whitening treatment instead of continuing to use this product
positive,for months i was waiting the product to come back for sale when i saw it is available again i bought  it was a good choice i searched a lot for an organic kid hair gel and i did not find a better one holds my son hair for hours i know it is a lit expensive but worth it
negative,i used this product in the step henna  indigo hair dyeing process hair turned black after i applied indigo but washed off the very next day i am left with just the henna color now i have used several other brands of indigo and am not going to buy this again
negative,larger than anticipated didnt really stick well
neutral,cute
neutral,my wife isnt sure its doing anything but said shes not sure if she has used it long enough
neutral,i had high expectations for this product but it isnt significantly better than my usual nail polish combination  i applied the nail polish no base coat as instructed plus the top coat on saturday  today is monday and i have tip wear and mild chipping  i already use good nail products i use the hk girl base and top coat so maybe thats why im not noticing exceptional lasting power  at least on me theres no way i will get a full week of wear out of this  i gave it  stars because the color applied nicely and was basically opaque after  coat and dried quickly  i also love the color  the main benefit i see is the ability to eliminate a step base coat for same result as using  different products
positive,as a dentist i advise all of my patients to get one great buy at a big box store where you get a travel model thrown in at a great price
positive,love this product  only complaint that there is not enough in the tube for the cost
positive,very nice looks good in the bathroom nice quality
negative,the orange thing you see in the picture is a piece of a carrot burnt orange cloth the item camera looked green the chain part was brown and it only came down to my collar bone i was hoping for a lower hanging necklace i can not find an outfit to wear with it it looks completely different from the picture i was very dissatisfied and would never even consider buying again and would highly recommend unless its for a younger kid  dont buy
negative,i ignored the comments about the smell because i wanted a product that was made here in the usa omg a skunk smells better than this monomer i figured i could use it outdoors if the smell was too intense but this is even too bad an odor for outdoors the other negative is that the monomer bottle was open and spilled all over the kit now my entire house smells of chemicals ugh
neutral,ive received the product recently gave it a quick try it was a bit disappointing i have a black hair by using the black powder it gave my hair a weird grayish black matte look i do like the fact that it covers my thinning hair spots but up close it looks fake
positive,soft as a baby butt  love the bristles and since i have sensitive skin this has worked well with my skin  no irritation so far so good  the quality is really good
negative,so heavy on my face and the eye holes and mouth holes didnt fit in the proper areas unfortunately also the other blue lights i have used kept my breakouts at bay much better  great customer service on this product though
negative,its not good for the price is to small
negative,im unable to use it because it is painful i understand that is how hair removal products are but my face cant handle it and i dont have sensitive skin at least it looks just like the photo and i have filed a refund  and its been a year
positive,product works as advertised to relieve teeth sensativity to cold liquids  beware of ordering this product online as it does it expire  the pack i received via amazon only had  months left on before expiring so i returned  in the future i will be buying at a local store so i can ensure adequate shelflife
negative,this mouth wash has a terrible taste and is much worse than the cheaper alcohol based mouth washes even worse after using the product for  days i have lost most of my ability to taste and my tongue feels like it has been chemically burned the pain on my tongue actually woke me up in the middle of the night it felt like i went to sleep with acid in my mouth  there is also a lingering foam that stays in your mouth after you use it i try spiting it out but it continues to foam this is a terrible product and i have no idea how it managed to get fda approval if you read online there are many sites and news stories about how this product is hurting people crest needs to stop selling these
neutral,probably too soon to tell but i dont see a difference after several applications
positive,i love working out and my hair was dry after working out
negative,handles fell off
positive,so happy with the nail art gems looking forward to buy more colorful gems and other product for nails love it 
positive,light bulb
neutral,sticky
positive,a good full coverage concealer is hard to find i was so happy to find this fabulous palette and discover that it is an amazing quality product for a great price  the palette is heavy and full of product the quality is evident from the moment you feel how heavy it is the hard plastic case makes it sturdy and easy to care for i love that it is such a variety of color  to be exact due to the great variety of colors people of almost all skin tones can use it there is a lot of concealer in each pan and it is so pigmented a little goes a long way there is a huge mirror on the lid that makes it easier to apply it comes with an amazing concealer brush that gets in all the small crevices like under the eyes and around the nose beautifully the colors blend well so you can use a couple different colors to get your exact match  the concealer dries after a minute or two but doesnt dry out your skin it doesnt feel heavy or cakey on your skin but is lightweight and comfortable i used a beauty blender to give it a smooth and flawless look i have acne and redness and the lighter shades cover it completely i also have wrinkles and the concealer doesnt settle into cracks and creases it is just such a creamy and wonderful texture i also loved experimenting with the darker colors and using them for contour i put it on before work and my makeup stays put all day until i get home i am so happy with my purchase and would recommend  i purchased this product at a discounted price in exchange for my honest review
positive,work great
neutral,i liked that the glue color is black so when you put the lashes on it looks like your wearing a little eyeliner its easy to wipe it if you do mess up  its hard to open though
negative,sponges didnt retain water well and didnt blend good enough for me only one that worked awesome was the pink one wouldnt buy again
neutral,its a great moisturizer for its price i gave it  stars because my skin still feels dry but its also because its winter time i was previously using skinfood yuja water moisterizer and prefer that
neutral,broke easily but still useful
positive,the only razor i will use is the venus and olay the cartridges are easy to use and glide very easily for a clean shave
negative,must have been a defective productdoes not spray does not form a film  will stick to bonjela
neutral,  stars this was a replacementupgrade  i like the larger water tank and the settings allow a great deal of flexibility  the power cord is a nice length a nice look the storage in the top is convenient the variety of implements is a plus and you can use mouthwash with it  minuses  noiser than my other ones rattles like the dickens coiled tube connected to base not long enough to reach to mouth holder design makes for a bit of an awkward insertion back into bases holderdefinitely needs to be reengineered with more consumer input top has a tendency to slip into the tank when being replaced if youre not really careful  as for the pik implement the ejection button is placed a bit too close to the area where i hold the pik and several times ive moved my hand a bit to get a better angle and ejected the pik getting a lot wetter than i wanted  allinall this is my rd waterpik its not a bad little system for the price  it would be nice to see them fix the above minuses
positive,its a solid set of  dice it comes with d d d d d percentage variant d  d
neutral,i was really wanting to purchase designer imposters confess cologne but it is no longer available  i decided to try this spray instead but was somewhat disappointed  thank you
positive,what can you say about replacement razor blades  they either work or they dont  well these ones work just fine  they came packaged just as if i bought them in a store  no problems
negative,used  times only you have to have a very thick section in order to hold it otherwise the spring is not tight enough you can find way cheapper and better quality than this iron waste of money and now looks like i cant return very dusappointed
negative,this thing hurts and i have a high pain tolerance
negative,broke after  uses
negative,the toothbrushes are way too hard they are not medium and i cannot use them as they hurt my gums
negative,i wish it did not have such a large profile
positive,i purchased this item for my teenager who has braces she loves the feel of the water pik she says it massages her gums
positive,love them
neutral,some of the combbristles came off in my daughters hair but it does heat well and made her hair more manageable
neutral,i was anxiously awaiting for this head band for over a month and when i received it and tried to put it on it broke i am unsatisfied that the resources used for this werent as great as they could have been
positive,really scrubs the body nicely
positive,perfect for bachelorette party
positive,very good
neutral,smells a little too sweet for a unisex scent
negative,bought this for a halloween costume wanted to paint my face blue to be sadness from the movie inside out it is much darker than advertised and you would definitely need several at least  to even out the color i ended up just washing it off use isopropyl alcohol and using blue eye shadow will not use again
positive,girlfriend loves
negative,i didnt like it didnt get hot enough
positive,seems to work pretty good
neutral,i love that i can transfer my foundation in this but the pump doesnt work well i do however like this if the pump wasnt so annoying i would give it five star
positive,i have a beard that is  long and it has been in desperate need of some love it became clear that regular shampoo is not good for beards so i started shopping for beard shampoo i started with this product since i love the description of the smells and i use the same brands beard oil of matching sent  i started noticing my beard hair becoming more straight and much more easily to work with almost instantly the smell of the cedar pine and eucalyptus oil is perfect together this is the kind of thing that most guys dont bother with but spending the extra few minutes will make a huge difference  you only need to use a small amount so this bottle will last you quite a while overall i think this is a great purchase for any bearded guy i received this product at a discount in exchange for a fair and honest review
positive,the fragrance is a wonderful reminder of hawaii fabulous it was hard to find in hawaii so we were glad to find it online
negative,im really disappointed with this trimer i did some research before buying this product and apparently all the blogs that i read recommended this trimer because is affordable and que quality is ok do no buy this trimmer it stopped working after a couple of months and i do not even used it more than three timer peer month its a total disappointment
positive,i have a low sidepart pomp and i was looking for something with a bit more hold than murrays this is it and then some i popped open the can of xx to find a greenishgray solid mass of product i tapped on it with my index finger and i could barely make a mark in it rather than fight with it i used the blow dryer on its hotlow setting to heat it up for about  seconds before i scooped it out  got it out of the can and into my hairwhich was damp i know i know oil and water dont mixbut my hair is wavy in the front if i let it dry before putting the product in i cant get it to straighten out it took a little bit of effort to work it into my hair and slightly more to comb it through be careful and go slow at first when combing or youre likely to lose some hair along the way once i got the comb through a few times i was good to go i styled my hair to an almost finished state and then topped it off with white lightning light weight  high shine pomade which is really shiny but surprisingly not too greasy looking and finished styling  its about  hours since i did my hair and this stuff is holding up better than murrays did for me its worth checking out
neutral,i think its an okay starter set i can not get the back and white stamper to pick up at all which was the one i hoped worked the best the pink one worked but the littlest end worked the beststill not bad but my biggest issue are with the plates while opening the plates one f them literally sliced a little piece of skin off my ring finger that still hurts i just think that they should be sanded more around the edges to prevent thisbut other thn that they werent so bad came in in  days so that was a huge plus for me
neutral,its ironic that the battery powered foot filers were too under powered to work  i waited to get one for my wife that would not have this issue  her opinion is like everyone else  it will burn your skin even on the lowest setting with the least abrasive head  i hate having to return a product because it does the job  too well
positive,been a fan of powder for a year now all of the flavors mens womans baby  all subtle it cant make you stop sweating but it really helps the liquid to powder works for me  give it minutes to dry 
neutral,the product itself is water resistant but not waterproof it comes off lashes easily with soap and water but leaves lots of black residue like a raccoon effect container is lousy the shiny metallic fuchsia paint crinkled up and started flashing off the first time i used it straight from the package shown so now every time i use it i get metallic paint flakes everywhere that are so staticy that its really hard to get off hands but it gets onto everything 
neutral,the first one didnt work and i returned it to the company the second one is working 
neutral,this did a great job with making sure my makeup didnt transfer i will say that but it had my tzone shiny and oily like ive never seen so ill have to say no for me im a little disappointed about that because the no transfer part is amazing  also it does have a strong minty smell like most people say i dont so much mind that but i don recommend keeping your eyes  closed for  seconds or so after you spray it so that it doesnt burn your eyes
negative,i use it to make laundry detergent but its almost as if its watered down wont get this brand again for what i need it for
positive,dont know much about thembut it seems to work fine
negative,it is made very cheaply material even for the price its still too expensive for its quality
neutral,the wig itself was fine it came with a wig cap that easily keeps my hair up since i have short thick hair the quality is expected for the price since it tangles easily but looks nice once combed through my main problem was the color was off i ordered dark brown and the color i received was purplereddish it seems more purple in the light and not at all what i wanted id like to exchange it for a color id actually uselike
neutral,fast ship fair a bit high
negative,didnt cover my nails they were to small
positive,love these razors no more burn
neutral,cute but not great quality  it started to rust within the first few weeks
negative,paid  for bracelet then they charged  for shipping all for it to arrive in my mailbox with the heart broken off wasnt expecting super quality for price but arriving broken and unwearable  real disappointment
negative,im a small guy around  and the jacket was huge on me feels like paper but alright for the price the cape is good
neutral,decent but could be better hasnt fallen apart but the silver coating is rubbing off
negative,pure disappointment tangled mess was all i got with this thing
positive,so far i really like this not only is it good for my skin the facial massage helps me relax
